DATE,NATURALGAS
2000-01-01,2510.5
2000-02-01,2330.7
2000-03-01,2050.6
2000-04-01,1783.3
2000-05-01,1632.9
2000-06-01,1513.1
2000-07-01,1525.6
2000-08-01,1653.1
2000-09-01,1475.0
2000-10-01,1567.8
2000-11-01,1908.5
2000-12-01,2587.5
2001-01-01,2677.0
2001-02-01,2309.5
2001-03-01,2246.6
2001-04-01,1807.2
2001-05-01,1522.4
2001-06-01,1444.4
2001-07-01,1598.1
2001-08-01,1669.2
2001-09-01,1494.1
2001-10-01,1649.1
2001-11-01,1701.0
2001-12-01,2120.2
2002-01-01,2487.6
2002-02-01,2242.4
2002-03-01,2258.4
2002-04-01,1881.0
2002-05-01,1611.5
2002-06-01,1591.4
2002-07-01,1748.4
2002-08-01,1725.7
2002-09-01,1542.2
2002-10-01,1645.9
2002-11-01,1913.6
2002-12-01,2378.9
2003-01-01,2700.5
2003-02-01,2500.3
2003-03-01,2197.9
2003-04-01,1743.5
2003-05-01,1514.7
2003-06-01,1368.4
2003-07-01,1600.5
2003-08-01,1651.6
2003-09-01,1428.6
2003-10-01,1553.2
2003-11-01,1753.6
2003-12-01,2263.7
2004-01-01,2675.8
2004-02-01,2511.1
2004-03-01,2100.9
2004-04-01,1745.2
2004-05-01,1573.0
2004-06-01,1483.7
2004-07-01,1584.9
2004-08-01,1578.0
2004-09-01,1482.2
2004-10-01,1557.2
2004-11-01,1782.8
2004-12-01,2327.7
2005-01-01,2561.9
2005-02-01,2243.0
2005-03-01,2205.8
2005-04-01,1724.9
2005-05-01,1522.6
2005-06-01,1534.1
2005-07-01,1686.6
2005-08-01,1695.1
2005-09-01,1422.5
2005-10-01,1428.2
2005-11-01,1663.4
2005-12-01,2326.4
2006-01-01,2165.3
2006-02-01,2144.4
2006-03-01,2126.4
2006-04-01,1681.0
2006-05-01,1526.3
2006-06-01,1550.9
2006-07-01,1758.7
2006-08-01,1751.7
2006-09-01,1462.1
2006-10-01,1644.2
2006-11-01,1765.4
2006-12-01,2122.8
2007-01-01,2475.6
2007-02-01,2567.0
2007-03-01,2128.8
2007-04-01,1810.1
2007-05-01,1559.1
2007-06-01,1555.2
2007-07-01,1659.9
2007-08-01,1896.1
2007-09-01,1590.5
2007-10-01,1627.8
2007-11-01,1834.5
2007-12-01,2399.2
2008-01-01,2734.0
2008-02-01,2503.4
2008-03-01,2278.2
2008-04-01,1823.9
2008-05-01,1576.4
2008-06-01,1604.2
2008-07-01,1708.6
2008-08-01,1682.9
2008-09-01,1460.9
2008-10-01,1635.8
2008-11-01,1868.9
2008-12-01,2399.7
2009-01-01,2729.7
2009-02-01,2332.5
2009-03-01,2170.7
2009-04-01,1741.3
2009-05-01,1504.0
2009-06-01,1527.8
2009-07-01,1658.0
2009-08-01,1736.5
2009-09-01,1575.0
2009-10-01,1666.5
2009-11-01,1776.2
2009-12-01,2491.9
2010-01-01,2809.8
2010-02-01,2481.0
2010-03-01,2142.9
2010-04-01,1691.8
2010-05-01,1617.3
2010-06-01,1649.5
2010-07-01,1825.8
2010-08-01,1878.9
2010-09-01,1637.5
2010-10-01,1664.9
2010-11-01,1973.3
2010-12-01,2714.1
2011-01-01,2888.6
2011-02-01,2452.4
2011-03-01,2230.5
2011-04-01,1825.0
2011-05-01,1667.4
2011-06-01,1657.3
2011-07-01,1890.5
2011-08-01,1891.8
2011-09-01,1655.6
2011-10-01,1744.5
2011-11-01,2031.9
2011-12-01,2541.9
2012-01-01,2756.2
2012-02-01,2500.7
2012-03-01,2127.8
2012-04-01,1953.1
2012-05-01,1873.8
2012-06-01,1868.4
2012-07-01,2069.8
2012-08-01,2008.8
2012-09-01,1807.2
2012-10-01,1901.1
2012-11-01,2167.8
2012-12-01,2503.9
2013-01-01,2878.8
2013-02-01,2567.2
2013-03-01,2521.1
2013-04-01,1967.5
2013-05-01,1752.5
2013-06-01,1742.9
2013-07-01,1926.3
2013-08-01,1927.4
2013-09-01,1767.0
2013-10-01,1866.8
2013-11-01,2316.9
2013-12-01,2920.8
2014-01-01,3204.1
2014-02-01,2741.2
2014-03-01,2557.9
2014-04-01,1961.7
2014-05-01,1810.2
2014-06-01,1745.4
2014-07-01,1881.0
2014-08-01,1933.1
2014-09-01,1809.3
2014-10-01,1912.8
2014-11-01,2357.5
2014-12-01,2679.2
2015-01-01,3115.0
2015-02-01,2925.2
2015-03-01,2591.3
2015-04-01,2007.9
2015-05-01,1858.1
