"ds","y"
1976-01-01,885.2
1976-02-01,994.7
1976-03-01,1243.6
1976-04-01,1191.2
1976-05-01,1203.2
1976-06-01,1254.7
1976-07-01,1162.3
1976-08-01,1026.1
1976-09-01,1057.9
1976-10-01,1129.4
1976-11-01,1084.4
1976-12-01,1061.8
1977-01-01,969.9
1977-02-01,1092.1
1977-03-01,1451.1
1977-04-01,1354.4
1977-05-01,1377.1
1977-06-01,1459.8
1977-07-01,1202
1977-08-01,1234.5
1977-09-01,1104.6
1977-10-01,1341.3
1977-11-01,1181.6
1977-12-01,1090.6
1978-01-01,931.3
1978-02-01,1071.4
1978-03-01,1480.6
1978-04-01,1406.5
1978-05-01,1557.6
1978-06-01,1549.4
1978-07-01,1289.2
1978-08-01,1317.1
1978-09-01,1103.5
1978-10-01,1397
1978-11-01,1248.7
1978-12-01,1068.5
1979-01-01,1077.5
1979-02-01,1148.7
1979-03-01,1483.8
1979-04-01,1304.6
1979-05-01,1373
1979-06-01,1183.8
1979-07-01,1164.4
1979-08-01,1207.2
1979-09-01,1029.6
1979-10-01,1197.6
1979-11-01,1018.6
1979-12-01,959.7
1980-01-01,1042
1980-02-01,1038.7
1980-03-01,1141.9
1980-04-01,946.6
1980-05-01,893.8
1980-06-01,932.7
1980-07-01,1006.6
1980-08-01,884.2
1980-09-01,847.4
1980-10-01,1043.4
1980-11-01,870.5
1980-12-01,821.4
1981-01-01,814.3
1981-02-01,949.2
1981-03-01,1178.8
1981-04-01,962.9
1981-05-01,933.1
1981-06-01,942.7
1981-07-01,896.9
1981-08-01,1009
1981-09-01,864.8
1981-10-01,822
1981-11-01,743
1981-12-01,673.2
1982-01-01,714.4
1982-02-01,840.5
1982-03-01,1057.3
1982-04-01,877.2
1982-05-01,1020.2
1982-06-01,868.4
1982-07-01,827.4
1982-08-01,794
1982-09-01,891.1
1982-10-01,840.9
1982-11-01,971.5
1982-12-01,839.3
1983-01-01,789.3
1983-02-01,821.6
1983-03-01,1102
1983-04-01,1012.3
1983-05-01,1109.9
1983-06-01,1205.4
1983-07-01,1051.7
1983-08-01,993.1
1983-09-01,980.4
1983-10-01,1126
1983-11-01,1050.2
1983-12-01,1054
1984-01-01,1056.9
1984-02-01,1158.9
1984-03-01,1351.5
1984-04-01,1245.8
1984-05-01,1451.7
1984-06-01,1315.9
1984-07-01,1237.2
1984-08-01,1129.6
1984-09-01,1053.4
1984-10-01,1266.5
1984-11-01,1141.1
1984-12-01,1074.8
1985-01-01,1196.6
1985-02-01,1210.6
1985-03-01,1391
1985-04-01,1380.3
1985-05-01,1498.9
1985-06-01,1332.9
1985-07-01,1337.6
1985-08-01,1345.8
1985-09-01,1463.5
1985-10-01,1243.2
1985-11-01,1120.9
1985-12-01,1198.8
1986-01-01,1213.8
1986-02-01,1182.2
1986-03-01,1297.6
1986-04-01,1390.1
1986-05-01,1530.3
1986-06-01,1426.5
1986-07-01,1378
1986-08-01,1344.1
1986-09-01,1733.6
1986-10-01,1270.6
1986-11-01,1119.9
1986-12-01,1431.1
1987-01-01,918.9
1987-02-01,1148.4
1987-03-01,1381.7
1987-04-01,1385.3
1987-05-01,1298.5
1987-06-01,1419.6
1987-07-01,1355.8
1987-08-01,1400.6
1987-09-01,1300.5
1987-10-01,1193.2
1987-11-01,1110.7
1987-12-01,1249.2
1988-01-01,1122.5
1988-02-01,1308.8
1988-03-01,1505
1988-04-01,1333.5
1988-05-01,1455.4
1988-06-01,1483.1
1988-07-01,1302.8
1988-08-01,1317
1988-09-01,1223.2
1988-10-01,1249.9
1988-11-01,1191.1
1988-12-01,1285.2
1989-01-01,1084.2
1989-02-01,1127.3
1989-03-01,1337.6
1989-04-01,1354.8
1989-05-01,1438.4
1989-06-01,1329.2
1989-07-01,1279.1
1989-08-01,1441.9
